Address,African-American,American Indian,American Indian/Alaska Native,American Indian/Alaskan Native,Asian,Asian or Asian/Pacific Islander,Asian or Pacific Islander,Asian/Pacific Islander,Black,"Black, not Hispanic",City,Female,Filipino,FullState,Hawaiian Native/Pacific Islander,Hispanic,Lowincome,Male,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,Native Hawaiian or Pacific Islander,Pacific Islander,Rate,School,SchoolLink,Score,State,StateOrder,Two or more races,Type,White,"White, not Hispanic",ZipCode,_id,location
2231 Veteran's Mem Pkwy,,,,,,,,,,,Tuscaloosa,,,alabama,,,,,,,,,Currently unrated,A Place for Me Chrn Eec,/alabama/tuscaloosa/3434-A-Place-For-Me-Chrn-Eec/,-1,AL,19,,Private,,,35404,5e7b01be0c16a3618bfc3a53,
3836 Predido Lane,,,,,,,,,,,Northport,,,alabama,,,,,,,,,Currently unrated,A Plus Academy,/alabama/northport/4095-A-Plus-Academy/,-1,AL,20,,Private,,,35473,5e7b01be0c16a3618bfc3a54,
805 McNillan St,,,,,,,,,,,Birmingham,,,alabama,,,,,,,,,Currently unrated,A Second First Impression DC,/alabama/birmingham/2551-A-Second-First-Impression-DC/,-1,AL,21,,Private,,,35201,5e7b01be0c16a3618bfc3a55,
1428 Heflin Avenue West,,,,,,,,,,,Birmingham,,,alabama,,,,,,,,,Currently unrated,A'dear Day Care,/alabama/birmingham/3273-Adear-Day-Care/,-1,AL,22,,Private,,,35214,5e7b01be0c16a3618bfc3a56,"{'type': 'Point', 'coordinates': [-86.89896980256368, 33.56523602038889]}"
501 Beck Street,,,1%,,<1%,,,,77%,,Atmore,50%,,alabama,<1%,3%,97%,50%,,,,,Currently unrated,A.C. Moore Elementary School,/alabama/atmore/565-A.C.-Moore-Elementary-School/,-1,AL,23,2%,Public district,16%,,36502,5e7b01be0c16a3618bfc3a57,"{'type': 'Point', 'coordinates': [-87.48633, 31.014488]}"
300 North Trawick Street,,,,,,,,,,,Abbeville,,,alabama,,,,,,,,,Currently unrated,Abbeville Alt School,/alabama/abbeville/2247-Abbeville-Alt-School/,-1,AL,24,,Public district,,,36310,5e7b01be0c16a3618bfc3a58,"{'type': 'Point', 'coordinates': [-85.252082, 31.565259]}"
M L Tillis Dr,,,,,,,,,,,Abbeville,,,alabama,,,,,,,,,Currently unrated,Abbeville Christian Academy,/alabama/abbeville/1572-Abbeville-Christian-Academy/,-1,AL,25,,Private,,,36310,5e7b01be0c16a3618bfc3a59,"{'type': 'Point', 'coordinates': [-85.260666, 31.576748]}"
100 Elm Street,,,1%,,<1%,,,,49%,,Abbeville,45%,,alabama,<1%,5%,86%,55%,,,,,Below average,Abbeville Elementary School,/alabama/abbeville/698-Abbeville-Elementary-School/,3,AL,26,6%,Public district,39%,,36310,5e7b01be0c16a3618bfc3a5a,"{'type': 'Point', 'coordinates': [-85.248723, 31.565904]}"
411 Graball Cutoff,,,<1%,,<1%,,,,64%,,Abbeville,46%,,alabama,<1%,4%,87%,54%,,,,,Below average,Abbeville High School,/alabama/abbeville/696-Abbeville-High-School/,4,AL,27,3%,Public district,29%,,36310,5e7b01be0c16a3618bfc3a5b,"{'type': 'Point', 'coordinates': [-85.27821, 31.584619]}"
Gilliam St,,,,,,,,,,,Abbeville,,,alabama,,,,,,,,,Currently unrated,Abbeville Middle School,/alabama/abbeville/697-Abbeville-Middle-School/,-1,AL,28,,Public district,,,36310,5e7b01be0c16a3618bfc3a5c,"{'type': 'Point', 'coordinates': [-85.240167, 31.563421]}"
Po Box 8712,,,,,,,,,,,Dothan,,,alabama,,,,,,,,,Currently unrated,Abc Academy,/alabama/dothan/2697-Abc-Academy/,-1,AL,29,,Private,,,36304,5e7b01be0c16a3618bfc3a5d,
211 Lanier St,,,,,,,,,,,Dothan,,,alabama,,,,,,,,,Currently unrated,ABC Academy Schoolers,/alabama/dothan/2696-ABC-Academy-Schoolers/,-1,AL,30,,Private,,,36303,5e7b01be0c16a3618bfc3a5e,"{'type': 'Point', 'coordinates': [-85.40098496005496, 31.227057896499044]}"
301 East Boundry Street,,,,,,,,,,,Eufaula,,,alabama,,,,,,,,,Currently unrated,Abc Child & Learning Center,/alabama/eufaula/2737-Abc-Child--Learning-Center/,-1,AL,31,,Private,,,36027,5e7b01be0c16a3618bfc3a5f,
771 Shades Mountain Plaza,,,,,,,,,,,Hoover,,,alabama,,,,,,,,,Currently unrated,Abc Child Development Center,/alabama/hoover/2870-Abc-Child-Development-Center/,-1,AL,32,,Private,,,35226,5e7b01be0c16a3618bfc3a60,"{'type': 'Point', 'coordinates': [-86.8442195959596, 33.41393222222222]}"
2555 Fairlane Dr,,,,,,,,,,,Montgomery,,,alabama,,,,,,,,,Currently unrated,ABC Christian Academy,/alabama/montgomery/3524-ABC-Christian-Academy/,-1,AL,33,,Private,,,36116,5e7b01be0c16a3618bfc3a61,"{'type': 'Point', 'coordinates': [-86.23670439689268, 32.33130832492682]}"
920 23rd Ave,,,,,,,,,,,Tuscaloosa,,,alabama,,,,,,,,,Currently unrated,ABC Day Camp,/alabama/tuscaloosa/3450-ABC-Day-Camp/,-1,AL,34,,Private,,,35404,5e7b01be0c16a3618bfc3a62,"{'type': 'Point', 'coordinates': [-87.5653994902969, 33.20613724613395]}"
610 Columbiana Road,,,,,,,,,,,Birmingham,,,alabama,,,,,,,,,Currently unrated,Abc Day Care And Kindergarten,/alabama/birmingham/2535-Abc-Day-Care-And-Kindergarten/,-1,AL,35,,Private,,,35209,5e7b01be0c16a3618bfc3a63,"{'type': 'Point', 'coordinates': [-86.816695, 33.4623913]}"
1600 Sharpsburg Lane,,,,,,,,,,,Birmingham,,,alabama,,,,,,,,,Currently unrated,Abc Day Care And Kindrgarten,/alabama/birmingham/2442-Abc-Day-Care-And-Kindrgarten/,-1,AL,36,,Private,,,35213,5e7b01be0c16a3618bfc3a64,
Hcr 35 Box 263-1,,,,,,,,,,,Evergreen,,,alabama,,,,,,,,,Currently unrated,ABC Day Care Center,/alabama/evergreen/2744-ABC-Day-Care-Center/,-1,AL,37,,Private,,,36401,5e7b01be0c16a3618bfc3a65,
2509 E Meighan Blvd,,,,,,,,,,,Gadsden,,,alabama,,,,,,,,,Currently unrated,ABC Early Learning Center,/alabama/gadsden/2789-ABC-Early-Learning-Center/,-1,AL,38,,Private,,,35903,5e7b01be0c16a3618bfc3a66,"{'type': 'Point', 'coordinates': [-85.96198925309493, 33.98380771131012]}"
3000 County Road 29,,,1%,,<1%,,,,99%,,Alberta,48%,,alabama,<1%,<1%,89%,52%,,,,,Below average,Abc Elementary School,/alabama/alberta/1502-Abc-Elementary-School/,2,AL,39,<1%,Public district,<1%,,36720,5e7b01be0c16a3618bfc3a67,
3618 Oaktree Drive,,,,,,,,,,,Semmes,,,alabama,,,,,,,,,Currently unrated,ABC Kindergarten,/alabama/semmes/4207-ABC-Kindergarten/,-1,AL,40,,Private,,,36575,5e7b01be0c16a3618bfc3a68,
1395 County Road 34,,,,,,,,,,,Crossville,,,alabama,,,,,,,,,Currently unrated,Abc Learning Center,/alabama/crossville/2619-Abc-Learning-Center/,-1,AL,41,,Private,,,35962,5e7b01be0c16a3618bfc3a69,
501 Princeton Avenue Southwest,,,,,,,,,,,Birmingham,,,alabama,,,,,,,,,Currently unrated,Abc Princeton Day Care,/alabama/birmingham/2525-Abc-Princeton-Day-Care/,-1,AL,42,,Private,,,35211,5e7b01be0c16a3618bfc3a6a,"{'type': 'Point', 'coordinates': [-86.841588, 33.502116]}"
102 Dauphin St,,,,,,,,,,,Enterprise,,,alabama,,,,,,,,,Currently unrated,ABC's Childcare,/alabama/enterprise/2725-ABCs-Childcare/,-1,AL,43,,Private,,,36330,5e7b01be0c16a3618bfc3a6b,"{'type': 'Point', 'coordinates': [-85.86088567443122, 31.324080032505282]}"
1200 23rd Street North,,,<1%,,<1%,,,,94%,,Bessemer,51%,,alabama,<1%,5%,88%,49%,,,,,Below average,Abrams Elementary School,/alabama/bessemer/172-Abrams-Elementary-School/,1,AL,44,<1%,Public district,<1%,,35020,5e7b01be0c16a3618bfc3a6c,"{'type': 'Point', 'coordinates': [-86.961284, 33.413344]}"
2404 Highway 72 East,,,,,,,,,,,Huntsville,,,alabama,,,,,,,,,Currently unrated,Abundance Of Love Day Care,/alabama/huntsville/2893-Abundance-Of-Love-Day-Care/,-1,AL,45,,Private,,,35811,5e7b01be0c16a3618bfc3a6d,
4800 Sparkman Drive NW,,,<1%,,1%,,,,56%,,Huntsville,59%,,alabama,<1%,4%,39%,41%,,,,,Average,Academy For Academics & Arts,/alabama/huntsville/721-Academy-For-Academics--Arts/,6,AL,46,6%,Public district,32%,,35810,5e7b01be0c16a3618bfc3a6e,"{'type': 'Point', 'coordinates': [-86.635152, 34.759294]}"
3221 Mastin Lake Road Northeast,,,1%,,2%,,,,55%,,Huntsville,45%,,alabama,1%,11%,61%,55%,,,,,Above average,Academy For Science & Foreign Language,/alabama/huntsville/725-Academy-For-Science--Foreign-Language/,7,AL,47,5%,Public district,25%,,35810,5e7b01be0c16a3618bfc3a6f,
1003 Bruce Road,,,,,,,,,,,Boaz,,,alabama,,,,,,,,,Currently unrated,Academy Of Early Learning Center,/alabama/boaz/4050-Academy-Of-Early-Learning-Center/,-1,AL,48,,Private,,,35957,5e7b01be0c16a3618bfc3a70,"{'type': 'Point', 'coordinates': [-86.14982952620056, 34.206726810891894]}"
3100 Cottage Hill Road,,,1%,,1%,,,,72%,,Mobile,52%,,alabama,<1%,2%,81%,48%,,,,,Currently unrated,Acceleration Day And Evening Academy,/alabama/mobile/4270-Acceleration-Day-And-Evening-Academy/,-1,AL,49,3%,Public charter,20%,,36606,5e7b01be0c16a3618bfc3a71,"{'type': 'Point', 'coordinates': [-88.119599, 30.667097]}"
316 Fob James Drive,,,<1%,,,<1%,,,9%,,Valley,,,alabama,<1%,<1%,,,,,,,Currently unrated,Acts Academy,/alabama/valley/2280-Acts-Academy/,-1,AL,50,<1%,Private,91%,,36854,5e7b01be0c16a3618bfc3a72,"{'type': 'Point', 'coordinates': [-85.19298278453876, 32.817537579138154]}"
1105 7th Avenue,,,,,,,,,,,Jasper,,,alabama,,,,,,,,,Currently unrated,Adam Bishop Center,/alabama/jasper/2937-Adam-Bishop-Center/,-1,AL,51,,Private,,,35501,5e7b01be0c16a3618bfc3a73,"{'type': 'Point', 'coordinates': [-87.28247433062977, 33.840284839337144]}"
919 Raley Street,,,<1%,,<1%,,,,62%,,Gadsden,47%,,alabama,<1%,25%,86%,53%,,,,,Below average,Adams Elementary School,/alabama/gadsden/656-Adams-Elementary-School/,2,AL,52,<1%,Public district,13%,,35903,5e7b01be0c16a3618bfc3a74,"{'type': 'Point', 'coordinates': [-85.96807714285714, 34.00092618367347]}"
5008 County Rd 78,,,,,,,,,,,Fort Payne,,,alabama,,,,,,,,,Currently unrated,Adamsburg Elementary Head Start Center,/alabama/fort-payne/2776-Adamsburg-Elementary-Head-Start-Center/,-1,AL,53,,Private,,,35967,5e7b01be0c16a3618bfc3a75,
4600 Hazelwood Road,,,<1%,,<1%,,,,63%,,Adamsville,48%,,alabama,<1%,9%,77%,52%,,,,,Below average,Adamsville Elementary School,/alabama/adamsville/797-Adamsville-Elementary-School/,4,AL,54,<1%,Public district,29%,,35005,5e7b01be0c16a3618bfc3a76,"{'type': 'Point', 'coordinates': [-86.95754321967001, 33.59296927739707]}"
16411 County Rd 41,,,1%,,<1%,,,,<1%,,Addison,,,alabama,<1%,1%,,,,,,,Average,Addison Elementary School,/alabama/addison/1895-Addison-Elementary-School/,6,AL,55,<1%,Public district,98%,,35540,5e7b01be0c16a3618bfc3a77,"{'type': 'Point', 'coordinates': [-87.18067115069768, 34.20495861879069]}"
151 School Dr,,,1%,,<1%,,,,<1%,,Addison,,,alabama,<1%,1%,,,,,,,Average,Addison High School,/alabama/addison/1512-Addison-High-School/,5,AL,56,<1%,Public district,98%,,35540,5e7b01be0c16a3618bfc3a78,
2015 Park Place,,,<1%,,<1%,,,,67%,,Birmingham,33%,,alabama,<1%,<1%,,67%,,,,,Currently unrated,Adolescent Day Treatment,/alabama/birmingham/262-Adolescent-Day-Treatment/,-1,AL,57,<1%,Public district,33%,,35203,5e7b01be0c16a3618bfc3a79,"{'type': 'Point', 'coordinates': [-86.80967151515152, 33.519655]}"
212 Adullam Road,,,,,,,,,,,Wetumpka,,,alabama,,,,,,,,,Currently unrated,Adullam House Christian Academy,/alabama/wetumpka/2273-Adullam-House-Christian-Academy/,-1,AL,58,,Private,,,36092,5e7b01be0c16a3618bfc3a7a,
2019 6th Ave N,,,<1%,,,1%,,,12%,,Birmingham,,,alabama,<1%,1%,,,,,,,Currently unrated,Advent Episcopal Day School,/alabama/birmingham/1557-Advent-Episcopal-Day-School/,-1,AL,59,3%,Private,83%,,35203,5e7b01be0c16a3618bfc3a7b,"{'type': 'Point', 'coordinates': [-86.80851012244898, 33.51935924489796]}"
306 4th Ave S,,,,,,,,,,,Jasper,,,alabama,,,,,,,,,Currently unrated,Adventurous Beginnings Child Care Center,/alabama/jasper/3995-Adventurous-Beginnings-Child-Care-Center/,-1,AL,60,,Private,,,35502,5e7b01be0c16a3618bfc3a7c,"{'type': 'Point', 'coordinates': [-87.278675, 33.830796]}"
628 North Doctor Martin L King Junior Drive,,,,,,,,,,,Prichard,,,alabama,,,,,,,,,Currently unrated,Af Owens Infracare Head Start,/alabama/prichard/3793-Af-Owens-Infracare-Head-Start/,-1,AL,61,,Private,,,36610,5e7b01be0c16a3618bfc3a7d,
3002 Limbaugh Avenue,,,<1%,,<1%,,,,42%,,Childersburg,,,alabama,<1%,2%,,,,,,,Below average,Ah Watwood Elementary School,/alabama/childersburg/1368-Ah-Watwood-Elementary-School/,3,AL,62,2%,Public district,53%,,35044,5e7b01be0c16a3618bfc3a7e,"{'type': 'Point', 'coordinates': [-86.357675, 33.266945]}"
Po Box 40337,,,,,,,,,,,Mobile,,,alabama,,,,,,,,,Currently unrated,Aimwell's Learning Tree Cc Center,/alabama/mobile/3072-Aimwells-Learning-Tree-Cc-Center/,-1,AL,63,,Private,,,36640,5e7b01be0c16a3618bfc3a7f,"{'type': 'Point', 'coordinates': [-97.0247934, 47.9365318]}"
384 Blackmon Farm Lane,,,<1%,,1%,,,,43%,,Coosada,51%,,alabama,<1%,6%,57%,49%,,,,,Average,Airport Road Intermediate School,/alabama/coosada/3637-Airport-Road-Intermediate-School/,6,AL,64,2%,Public district,49%,,36020,5e7b01be0c16a3618bfc3a80,
141 College South,,,,,,,,,,,Akron,,,alabama,,,,,,,,,Currently unrated,Akron Community School East,/alabama/akron/685-Akron-Community-School-East/,-1,AL,65,,Public district,,,35441,5e7b01be0c16a3618bfc3a81,
131 5th Ave South,,,,,,,,,,,Akron,,,alabama,,,,,,,,,Currently unrated,Akron Community School West,/alabama/akron/686-Akron-Community-School-West/,-1,AL,66,,Public district,,,35441,5e7b01be0c16a3618bfc3a82,"{'type': 'Point', 'coordinates': [-87.74471843490949, 32.87445076655849]}"
63 East Drive,,,<1%,,,<1%,,,<1%,,Mobile,,,alabama,<1%,<1%,,,,,,,Currently unrated,Al-Iman Academy Of Mobile,/alabama/mobile/2044-Al-Iman-Academy-Of-Mobile/,-1,AL,67,1%,Private,99%,,36608,5e7b01be0c16a3618bfc3a83,"{'type': 'Point', 'coordinates': [-88.179952, 30.688392]}"
600 East Alabama Avenue,,,<1%,,1%,,,,4%,,Albertville,50%,,alabama,<1%,46%,71%,50%,,,,,Average,Ala Avenue Middle School,/alabama/albertville/5-Ala-Avenue-Middle-School/,5,AL,68,2%,Public district,47%,,35950,5e7b01be0c16a3618bfc3a84,"{'type': 'Point', 'coordinates': [-86.20746, 34.259074]}"
4700 Wares Ferry Road,,,<1%,,,1%,,,10%,,Montgomery,,,alabama,<1%,<1%,,,,,,,Currently unrated,Alabama Christian Academy,/alabama/montgomery/1642-Alabama-Christian-Academy/,-1,AL,69,1%,Private,87%,,36109,5e7b01be0c16a3618bfc3a85,"{'type': 'Point', 'coordinates': [-86.21821394256601, 32.387428299999996]}"
1221 Alton Dr,,,,,,,,,,,Birmingham,,,alabama,,,,,,,,,Currently unrated,Alabama Clinical Schools,/alabama/birmingham/3754-Alabama-Clinical-Schools/,-1,AL,70,,Private,,,35210,5e7b01be0c16a3618bfc3a86,"{'type': 'Point', 'coordinates': [-86.64581188256412, 33.5846933]}"
Po Box 409,,,,,,,,,,,Auburn,,,alabama,,,,,,,,,Currently unrated,Alabama Council On Human Relat,/alabama/auburn/3215-Alabama-Council-On-Human-Relat/,-1,AL,71,,Private,,,36831,5e7b01be0c16a3618bfc3a87,
18930 County Road 28,,,,,,,,,,,Foley,,,alabama,,,,,,,,,Currently unrated,Alabama Gulf Coast Christian Academy,/alabama/foley/3695-Alabama-Gulf-Coast-Christian-Academy/,-1,AL,72,,Private,,,36535,5e7b01be0c16a3618bfc3a88,
705 South Street East,,,,,,,,,,,Talladega,,,alabama,,,,,,,,,Currently unrated,Alabama School For Blind,/alabama/talladega/45-Alabama-School-For-Blind/,-1,AL,73,,Public district,,,35160,5e7b01be0c16a3618bfc3a89,"{'type': 'Point', 'coordinates': [-86.086606, 33.43526]}"
205 South Street East,,,,,,,,,,,Talladega,,,alabama,,,,,,,,,Currently unrated,Alabama School For Deaf,/alabama/talladega/44-Alabama-School-For-Deaf/,-1,AL,74,,Public district,,,35160,5e7b01be0c16a3618bfc3a8a,"{'type': 'Point', 'coordinates': [-86.086606, 33.43526]}"
1800 Reverend Abraham Woods,,,,,,,,,,,Birmingham,,,alabama,,,,,,,,,Currently unrated,Alabama School Of Fine Arts,/alabama/birmingham/2094-Alabama-School-Of-Fine-Arts/,-1,AL,75,,,,,,5e7b01be0c16a3618bfc3a8b,"{'type': 'Point', 'coordinates': [-86.80987380749555, 33.5222565]}"
1255 Dauphin St,,,,,,,,,,,Mobile,,,alabama,,,,,,,,,Currently unrated,Alabama School of Mathematics and Science,/alabama/mobile/48-Alabama-School-Of-Mathematics-And-Science/,-1,AL,76,,Public district,,,36604,5e7b01be0c16a3618bfc3a8c,"{'type': 'Point', 'coordinates': [-88.06449092307692, 30.687378333333335]}"
5901 Crestwood Blvd,,,2%,,,2%,,,18%,,Birmingham,,,alabama,1%,9%,,,,,,,Currently unrated,Alabama Waldorf School,/alabama/birmingham/2043-Alabama-Waldorf-School/,-1,AL,77,3%,,64%,,,5e7b01be0c16a3618bfc3a8d,"{'type': 'Point', 'coordinates': [-86.73984235353535, 33.53085308080808]}"
Central Office Bldg,,,,,,,,,,,Mount Meigs,,,alabama,,,,,,,,,Currently unrated,Alabama Youth Services,/alabama/mount-meigs/3590-Alabama-Youth-Services/,-1,AL,78,,Public district,,,36057,5e7b01be0c16a3618bfc3a8e,
1425 Alabama 119,,,,,,,,,,,Alabaster,,,alabama,,,,,,,,,Currently unrated,Alabaster Head Start,/alabama/alabaster/4024-Alabaster-Head-Start/,-1,AL,79,,Private,,,35007,5e7b01be0c16a3618bfc3a8f,"{'type': 'Point', 'coordinates': [-86.8163773, 33.2442813]}"
59 Eva Road,,,1%,,<1%,,,,2%,,Somerville,48%,,alabama,<1%,6%,47%,52%,,,,,Average,Albert P Brewer High School,/alabama/somerville/1168-Albert-P-Brewer-High-School/,6,AL,80,1%,Public district,91%,,35670,5e7b01be0c16a3618bfc3a90,
59 Eva Road,,,,,,,,,,,Somerville,,,alabama,,,,,,,,,Currently unrated,Albert P Brewer Voc School,/alabama/somerville/1167-Albert-P-Brewer-Voc-School/,-1,AL,81,,Public district,,,35670,5e7b01be0c16a3618bfc3a91,
101 Hubbard Drive,,,,,<1%,,,,98%,,Marion,,,alabama,,,,,,,,,Below average,Albert Turner Sr Elementary School,/alabama/marion/1218-Albert-Turner-Sr-Elementary-School/,2,AL,82,<1%,Public district,1%,,36756,5e7b01be0c16a3618bfc3a92,"{'type': 'Point', 'coordinates': [-87.931781, 33.953636]}"
2500 University Boulevard East,,,1%,,<1%,,,,88%,,Tuscaloosa,,,alabama,<1%,6%,,,,,,,Below average,Alberta Elementary School,/alabama/tuscaloosa/1410-Alberta-Elementary-School/,4,AL,83,1%,Public district,4%,,35404,5e7b01be0c16a3618bfc3a93,"{'type': 'Point', 'coordinates': [-87.504418, 33.206463]}"
1100 Horton Road,,,<1%,,<1%,,,,4%,,Albertville,49%,,alabama,<1%,49%,75%,51%,,,,,Below average,Albertville Elementary School,/alabama/albertville/9-Albertville-Elementary-School/,4,AL,84,4%,Public district,43%,,35950,5e7b01be0c16a3618bfc3a94,"{'type': 'Point', 'coordinates': [-86.2212568456036, 34.25539989851792]}"
402 East McCord Avenue,,,<1%,,1%,,,,4%,,Albertville,,,alabama,<1%,43%,,,,,,,Average,Albertville High School,/alabama/albertville/6-Albertville-High-School/,6,AL,85,3%,Public district,50%,,35950,5e7b01be0c16a3618bfc3a95,"{'type': 'Point', 'coordinates': [-86.20566166567018, 34.26292134927725]}"
1100 Horton Road,,,<1%,,<1%,,,,4%,,Albertville,48%,,alabama,<1%,54%,73%,52%,,,,,Currently unrated,Albertville Primary School,/alabama/albertville/3639-Albertville-Primary-School/,-1,AL,86,2%,Public district,38%,,35950,5e7b01be0c16a3618bfc3a96,"{'type': 'Point', 'coordinates': [-86.2212568456036, 34.25539989851792]}"
P.O. Box 609,,,,,,,,,,,Dora,,,alabama,,,,,,,,,Currently unrated,Aldersgate United Methodist DC,/alabama/dora/2681-Aldersgate-United-Methodist-DC/,-1,AL,87,,Private,,,35062,5e7b01be0c16a3618bfc3a97,
