"MLS #","#Pics","Pics","VirTr","Status","Address","Price","DOM","Lot (SqFt)","City","Class","Age","Property Type","$/SqFt","1/4 Baths","3/4 Baths","Address 2","Annual Rent","Annual Salary","Annual Tax Amount","Area","Area #","Beds","Building Name","Building Number","Building Unit Total","Capitalization Rate","Cash To Assume","City Limits (Y/N)","City Transfer Tax?","Country","County","Days On Market","Current Rent","Date Available","County ID","Elementary School District","Elementary School","Half Baths","High School","High School District","HOA Document Fee","HOA Exist Y/N","HOA Fee","HOA Fee Frequency","HOA Name Text","Lot Acres","Lot Size Area Max Search","Lot Size Area Maximum Units","Lot Size Area Min Search","Lot Size Source","LotSize SqFt County","Max # of Units in Building","Max # of Units in Complex","Middle School","PriceRangeLow","Rent List Price","Sale Price","Sale Price Per SqFt","State","Yard SqFt","Year Built","Zip Code"
"ML81841535","34","https://mlslmedia.azureedge.net/property/MLSL/81841535/a90c84e9516b4b6c8829cb5c7c2c02f7/2/1?preset=thumb","https://108oak.com/","A","108 Oak Court 108","$725,000","0",,"Daly City","RE","31","Condominium","$670.68",,,,,,,"Southern Hills","692","2",,,,,,"Yes",,,"San Mateo","0",,,"41","Bayshore Elementary",,,,"Jefferson Union High",,"Yes","$411","Monthly","San Bruno Mountain Saddleback HOA",,,,,"Tax",,,,,,,,,"CA",,"1990","94014"
"ML81839979","32","https://mlslmedia.azureedge.net/property/MLSL/81839979/673aa81ebe504637883b0b94d4114c8f/2/1?preset=thumb","http://www.edigitaltours.com/21/04/27500/","A","2580 Homestead Road 5102","$720,000","0",,"Santa Clara","RE","14","Condominium","$731.71",,,,,,,"Santa Clara","8","2",,,,,,"Yes","No",,"Santa Clara","0",,,"43","Santa Clara Unified",,,,"Santa Clara Unified","200.00","Yes","$393","Monthly","La Valencia HOA",,,,,"Tax",,"40",,,,,,,"CA",,"2007","95051"
"ML81841475","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","1375 Lick Avenue 220","$524,900","0",,"San Jose","RE","12","Condominium","$716.10",,,,,,,"Central San Jose","9","1",,,,,,,,,"Santa Clara","1",,,"43","San Jose Unified",,,,"San Jose Unified",,"Yes","$422","Monthly","Skyline at Tamien",,,,,"Tax",,,,,,,,,"CA",,"2009","95110"
"SF421543908","40","https://sfarmedia.rapmls.com/sfarmls/listingpics/bigphoto/2021/04/30/dcb596d3-283c-418f-9ffb-e138170accc6.jpg?preset=thumb","https://vimeo.com/541331525","A","260 King Street 549","$1,095,000","0","213,232","San Francisco","RE","0","Condominium","$889.52","0","0",,,,,"Mission Bay","25206","2",,,,,,,,,"San Francisco","0","0",,"38",,,"0",,,,"Yes","$944","Monthly","Beacon","4.8951","213,232.00","Square Feet","213,232.00","Tax",,"595",,,,,,"889.52","CA",,"2004","94107"
"TM21-724670","34","https://mediaservice.themls.com/large/21-724670/21-724670_e0c87878-211f-4ee8-b97c-4da33abe4ea4.jpg?preset=thumb","https://tour.caimagemaker.com/l/?id=173187IDX","A","10724 Wilshire Boulevard 405","$1,249,000","0","50,476","Los Angeles","RE",,"Condominium",,,"0",,,,,"Other Area",,"2",,,,,,,,,,"0",,,"19",,,"1",,,,"Yes",,"Monthly",,"1.1588",,,,,,,"150",,,,,,"CA",,"1989","90024"
"TM21-723324","23","https://mediaservice.themls.com/large/21-723324/21-723324_93ecade2-3e45-444f-b6e1-ace49d5050e6.jpg?preset=thumb","https://www.tourfactory.com/2863751","A","4128 whitsett 112","$789,000","0",,"Studio City","RE",,"Condominium",,,"0",,,,,"Other Area",,"2",,,,,,,,,,"0",,,"19",,,"1",,,,"Yes",,"Monthly",,,,,,,,,"20",,,,,,"CA",,,"91604"
"BE40947033","5","//cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40947033/0/120/90/c72182fec5095017de0cde7f9dc76ece/1/066dc3ca5b2002cc8c2bfd0c22b9ef25/40947033.JPG",,"A","4740 Norris Canyon Rd 103","$675,000","0","0","San Ramon","RE","6","Condominium","$711.28",,,,,,,"San Ramon","4400","2",,,,,,,"No",,"Contra Costa","1",,,"7",,,"0",,,,"Yes","$259","Monthly","NOT LISTED","0.0000","0.00","Square Feet","0.00",,,,"116",,,,,,"CA",,"2015","94583"
"SF421543236","54","https://sfarmedia.rapmls.com/sfarmls/listingpics/bigphoto/2021/04/28/041eb41d-e982-48cb-b85c-a6964abe48ab.jpg?preset=thumb","https://my.matterport.com/show/?m=GEBJVitZzsV&mls=1","A","1025 17th Street 6","$765,000","0","4,133","San Francisco","RE","0","Condominium","$922.80","0","0",,,,,"Potrero Hill","25207","1",,,,,,,,,"San Francisco","0","0",,"38",,,"1",,,,"Yes","$483","Monthly","1025 17th Street Owners Association","0.0949","4,133.00","Square Feet","4,133.00","Tax",,"10",,,,,,"922.80","CA",,"1999","94107"
"ML81841523","40","https://mlslmedia.azureedge.net/property/MLSL/81841523/3cce26ff51264587b066a72101dd2df0/2/1?preset=thumb","https://912CampisiWayUnit30329943.f8re.com/","A","912 Campisi Way 303","$975,000","0","0","Campbell","RE","13","Condominium","$656.57",,,,,,,"Campbell","15","2",,,,,,,,,"Santa Clara","0",,,"43","Campbell Union Elementary",,,,"Campbell Union High",,"Yes","$551","Monthly","Onyx Homeowners Association","0.0000",,"Square Feet",,"Other",,,,,,,,,"CA",,"2008","95008"
"ML81841466","32","https://mlslmedia.azureedge.net/property/MLSL/81841466/6e511aa3fb19461aaf5bffe3bfe08ef6/2/1?preset=thumb","www.629Teatree.com","A","629 Teatree Court","$569,000","0",,"San Jose","RE","33","Condominium","$617.14",,,,,,,"Campbell","15","2",,,,,,"Yes","Yes",,"Santa Clara","1",,,"43","Campbell Union Elementary",,,,"Campbell Union High",,"Yes","$688","Monthly","Sierra Crest",,,,,"Tax",,,,,,,,,"CA",,"1988","95128"
"ML81839819","41","https://mlslmedia.azureedge.net/property/MLSL/81839819/16e40bb46d3246f0a19ce0fb0afe66ac/2/1?preset=thumb",,"A","2785 S Bascom Avenue 14","$797,000","0","741","Campbell","RE","37","Condominium","$631.54",,,,,,,"Cambrian","14","3",,,,,,,,,"Santa Clara","0",,,"43","Cambrian Elementary","Farnham Charter","1","Branham High","Campbell Union High",,"Yes","$413",,"Woodside Commons","0.0170",,"Square Feet",,"Other",,,,"Price Charter Middle",,,,,"CA",,"1984","95008"
"ML81841524","17","https://mlslmedia.azureedge.net/property/MLSL/81841524/07a409fc45024f1e954817b050d57bc1/2/1?preset=thumb","https://www.tourfactory.com/2862327","A","561 Groth Place","$479,950","0","834","San Jose","RE","39","Condominium","$629.86",,,,,,,"South San Jose","11","2",,,,,,"Yes","Yes",,"Santa Clara","0",,,"43","Franklin-McKinley Elementary",,,,"East Side Union High",,"Yes","$276","Monthly","Westside Manor HOA","0.0191",,"Square Feet",,"Other",,,,,,,,,"CA",,"1982","95111"
"BA321030319","61","https://barimedia.rapmls.com/norcalmls/listingpics/bigphoto/2021/04/28/f79cfed3-bd3e-4778-9663-4a991074c2bf.jpg?preset=thumb","https://my.matterport.com/show/?m=oCfMBbxcGRV&brand=0","A","374 Tabor Avenue","$359,000","0","0","Fairfield","RE","0","Condominium","$254.61","0","0",,,,,"Fairfield 5","25080","3",,,,,,,,,"Solano","0","0",,"48",,,"1",,,,"Yes","$389","Monthly","Redwood Villas",,"0.00","Square Feet","0.00","Tax",,"0",,,,,,"254.61","CA",,"1984","94533"
"SF421528734","60","https://sfarmedia.rapmls.com/sfarmls/listingpics/bigphoto/2021/04/27/b81328a2-6542-47ca-8b79-222533e4e7e8.jpg?preset=thumb",,"A","2064 Jackson Street","$7,895,000","0","4,150","San Francisco","RE","0","Condominium",,"0","0",,,,,"Pacific Heights","25192","3",,,,,,,,,"San Francisco","0","0",,"38",,,"1",,,,"Yes","$1,780","Monthly",,"0.0953","4,150.00","Square Feet","4,150.00","Tax",,"3",,,,,,"0.00","CA",,"1909","94109"
"CC40947810","22","//cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40947810/0/120/90/d0a77da4cff2e5e5313b59b1f5a192d0/1/74065a94234cbfe89a32dd9ff2219ac5/40947810.JPG",,"A","3275 Dublin Blvd 227","$510,000","0","0","Dublin","RE","17","Condominium","$607.14",,,,,,,"Other Area","4100","1",,,,,,,"No",,"Alameda","1",,,"1",,,"0",,,,"Yes","$359","Monthly","DUBLIN RANCH","0.0000","0.00","Square Feet","0.00",,,,"626",,,,,,"CA",,"2004","94568"
"BA321031488","18","https://barimedia.rapmls.com/norcalmls/listingpics/bigphoto/2021/04/29/964cf421-8a45-4be1-b64b-cb7ce5d60718.jpg?preset=thumb",,"A","37 Heritage Drive","$900,000","0","3,202","San Rafael","RE","0","Condominium","$568.90","0","0",,,,,"San Rafael","21162","3",,,,,,,,,"Marin","0","0",,"21",,,"1",,,,"Yes","$520","Monthly","The Ridge of San Rafael","0.0735","3,202.00","Square Feet","3,202.00","Tax",,"60",,,,,,"568.90","CA",,"1988","94901"
"CRPI21091265","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","511 Crown Hill Street B","$459,000","0","880","Arroyo Grande","RE","43","Condominium",,,,,,,,"Other Area",,"2",,,,,,,,,"San Luis Obispo","0",,,"40",,,,,"Lucia Mar Unified",,"Yes","$360","Monthly","Crown Terrace","0.0202",,"Square Feet",,"Tax",,,,,,,,,"CA",,"1978","93420"
"BE40947808","27","//cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40947808/0/120/90/4519ad29f0b08d2af2d75cc99b3835e2/1/47cfb11240c219dc6607e7898cfe3bbc/40947808.JPG","https://27505TampaAveUnit1339864mls.f8re.com/","A","27505 Tampa Ave 13","$388,800","0","600","Hayward","RE","40","Condominium","$427.25",,,,,,,"Hayward","3400","2",,,,,,,"Yes",,"Alameda","1",,,"1",,,"1",,,,"Yes","$495","Monthly","UNKNOWN","0.0100","600.00","Square Feet","600.00",,,,"68",,,,,,"CA",,"1981","94544"
